NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
2 154.45 14.83 0.4 7.72 3.04 10.579122551358463 328.36532618821417 17.73453318062195 1
13 1424.13 45.01 0.07 -18.12 6.82 24.804698825851496 328.24745954129816 17.734997968217897 1
16 1749.13 41.2 0.29 30.82 1.95 3.866576496427735 328.21741589142937 17.73481348679315 1
21 1493.14 55.07 0.39 -3.11 3.29 11.361974834491468 328.24101700703744 17.73587435884926 1
25 295.29 64.76 0.47 -80.98 6.53 31.773278767644378 328.3526086924232 17.73836715148779 1
27 591.12 62.07 0.18 40.8 3.7 10.637723553517521 328.3253364226206 17.737384062433044 1
35 1598.27 65.34 0.41 -69.03 1.6 2.2067155242513943 328.2312425903327 17.736794745039273 1
37 464.88 68.03 0.28 49.72 2.46 5.39625840742689 328.33703179978767 17.738192299006794 1
39 1165.21 78.8 0.08 -9.17 8.63 34.68976910586837 328.27161337147646 17.73801823092103 1
55 835.7 93.6 0.4 70.61 3.61 12.066995155135785 328.30251017478486 17.739669964206406 1
63 272.78 104.94 0.23 19.69 4.58 12.58651592954351 328.35471186083123 17.741894418576695 1
77 1990.85 122.81 0.66 59.2 2.11 5.140781605119036 328.19516180241374 17.742104355574043 1
79 1608.93 127.5 0.31 -87.95 3.34 12.676237031086758 328.23009958783507 17.74218570178483 1
91 194.64 142.37 0.5 25.82 4.55 15.012157649686372 328.36187617482784 17.745354881207213 1
94 1461.19 152.82 0.07 -30.75 6.43 19.415022037169727 328.2437808251178 17.74436477250327 1
95 891.72 151.34 0.25 32.58 5.23 21.38523085424781 328.29722743779587 17.744625839680477 1
113 1379.05 173.26 0.12 -74.36 3.87 8.355425941381146 328.25141934670563 17.74616071748743 1
131 891.5 207.94 0.21 59.1 3.61 10.372335098006552 328.29721361509075 17.74958654186627 1
137 128.25 220.17 0.37 38.85 4.89 17.849005654398972 328.36799694683697 17.752286706953527 1
150 1841.52 237.68 0.11 17.01 8.25 32.18946464530082 328.20836976890894 17.7519087121296 1
181 208.82 294.9 0.4 26.67 3.78 11.56288816553035 328.3607438966986 17.75857418698899 1
196 1877.12 329.81 0.09 88.56 3.09 8.431371802967567 328.204851314022 17.759989559407536 1
201 874.37 338.27 0.38 77.67 4.65 14.421291468574816 328.29874483045205 17.76110982881582 1
202 201.37 333.95 0.51 -33.24 1.69 3.6954391764839505 328.36145610999625 17.76201127873905 1
203 1372.61 336.11 0.07 74.47 3.14 7.572584651253123 328.2517362913992 17.76049778535811 1
210 614.39 348.34 0.36 56.45 3.24 8.897804679182126 328.3231932137312 17.7623981857203 1
211 832.15 352.63 0.38 78.64 5.5 21.532866312517484 328.3027181501469 17.762438400104436 1
222 1307.8 366.24 0.12 -67.41 4.48 15.626591844283421 328.2577886794064 17.763197885498613 1
223 155.2 369.63 0.39 14.6 2.76 7.173055627509574 328.36569613293585 17.76525592320665 1
232 1847.54 382.86 0.27 -24.95 5.89 16.705850136808834 328.207422629603 17.76463727405833 1
265 1330.05 427.37 0.03 -38.45 2.19 4.725497905076656 328.25559732544065 17.7686209923369 1
267 1024.07 434.31 0.33 39.25 5.05 17.210060245918157 328.2845182875688 17.7694771157229 1
283 1819.37 454.44 0.31 3.2 5.53 16.019010880081215 328.20983789957506 17.770947779542052 1
289 1909.29 459.17 0.41 -41.06 3.39 9.160579659794884 328.20156653059627 17.771389591412273 1
293 626.46 470.0 0.35 48.78 2.71 8.503665454436854 328.32203486932326 17.773180760473487 1
298 1733.1 474.37 0.09 -51.31 4.55 11.993825288787392 328.21776954989554 17.77270285998344 1
309 1476.78 497.76 0.05 44.99 4.26 11.441586452768176 328.24166588002726 17.77482958768066 1
311 508.86 499.72 0.32 50.79 3.95 12.15210109741685 328.3330516244972 17.776022720870884 2
327 456.58 526.95 0.41 43.5 6.36 21.66308526562096 328.3379315968366 17.77853845577658 1
334 358.07 529.56 0.25 -18.36 5.56 17.969196011423897 328.34709724189486 17.77894748939402 1
348 1291.3 558.99 0.19 -68.24 5.89 21.692857572751073 328.25906711182125 17.78040650607898 1
349 1981.9 555.36 0.46 -22.63 1.6 2.1556824490727564 328.1946979228439 17.77991539066907 1
350 1832.17 557.18 0.56 11.61 1.87 6.103755528210365 328.20842531873643 17.78006139685126 1
352 878.41 562.43 0.52 -47.35 1.87 2.838962255576046 328.29820141540773 17.78109929838584 1
