NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
3 444.37 20.21 0.39 60.83 6.48 18.550753508021884 328.5568477075099 17.448408039911783 1
13 351.34 33.71 0.08 48.73 4.15 9.124272927693598 328.565392653399 17.449823007637754 1
16 1572.54 36.56 0.09 52.33 3.19 8.134002789333385 328.4518358907617 17.44857268929183 1
24 1895.17 48.77 0.22 -70.87 5.94 14.392077802069172 328.42218956491706 17.44987157734995 1
33 1005.6 58.84 0.28 15.66 1.87 2.192041794694365 328.50467052929565 17.45070639767962 2
38 1248.84 70.17 0.58 21.12 1.95 3.2349743321246365 328.4818958084226 17.451497903063558 1
65 1742.58 119.59 0.32 -51.69 4.41 8.677391022942718 328.4359198051532 17.45583210532126 1
83 868.0 153.37 0.39 76.07 3.34 8.454803180697128 328.5174862480735 17.459106401904 1
85 1326.62 151.16 0.53 -53.13 1.6 2.9003657907462137 328.47448637908303 17.4585130728593 1
98 1387.69 184.42 0.22 7.29 2.11 3.467229719472689 328.4687138375321 17.46140183541592 2
100 199.18 188.41 0.58 -81.15 2.03 4.277260907361892 328.5794322998082 17.463610449650258 1
101 1598.23 193.42 0.19 89.9 4.03 10.597920752858016 328.44906896020234 17.46218620426533 1
102 1791.9 195.56 0.64 -36.93 2.46 5.573787864104856 328.43116839973055 17.462453746879042 2
120 178.55 225.79 0.34 -41.56 1.87 2.5702325956566874 328.5813466555422 17.466914069017587 1
122 1491.58 227.07 0.5 27.2 3.7 11.348923313553719 328.4589237158891 17.465121448364542 1
144 1872.15 262.29 0.25 30.98 1.95 5.230147498101242 328.42361613507524 17.468317191061015 1
147 339.87 271.85 0.21 42.93 6.31 16.196953720672152 328.5666260585405 17.47049964172594 1
156 2000.14 279.31 0.29 43.74 2.59 5.4704990375623215 328.41189611459373 17.46989565461428 1
170 190.85 298.92 0.21 -44.5 1.6 1.8916546466280537 328.5802936866816 17.473248958262324 2
179 1142.7 312.07 0.15 79.04 2.82 3.423844126362312 328.4915267514471 17.47275836010753 1
181 1457.45 321.69 0.22 -33.64 3.66 7.226441471411771 328.4619316771652 17.473447536279256 1
189 838.12 335.14 0.52 -37.23 1.95 3.084500935293769 328.52019047470384 17.4751304563311 1
190 409.34 338.2 0.41 29.58 3.09 7.704363319789971 328.5602424754678 17.4761616836723 1
191 468.54 338.27 0.24 10.21 3.48 10.203313652207463 328.5547556940031 17.476041538487664 1
198 1826.03 344.8 0.3 19.38 5.41 16.42560132799412 328.4276272291418 17.475513751640957 1
214 1939.0 365.12 0.28 -81.44 4.65 12.972500719251151 328.4172128946512 17.477348532526097 1
220 397.46 363.93 0.29 3.43 1.69 2.310953244574749 328.5613494548179 17.47845335237263 1
222 703.36 369.09 0.23 38.07 2.99 6.379586268683273 328.53283314480456 17.47833559548905 1
226 1509.51 378.37 0.36 -78.77 4.98 11.0421556540624 328.45695228481617 17.4784452046849 1
229 408.86 382.72 0.16 38.71 2.65 4.760292623803586 328.5602985643553 17.480085952437875 1
243 1949.23 396.47 0.3 51.13 2.19 4.557451555162338 328.4161938022892 17.480103433481784 1
251 1465.66 404.62 0.22 13.41 2.33 3.5657816783707004 328.46101325685737 17.480781070458256 1
254 156.42 418.6 0.16 21.25 2.19 3.890430261949226 328.5835169470448 17.483825732934502 2
257 1275.25 429.59 0.08 76.84 3.78 7.659652145970531 328.4788833129657 17.483087404909938 1
262 1781.16 437.56 0.52 -83.21 2.26 4.81786319423308 328.4315438443499 17.48367264013397 1
265 349.81 445.71 0.12 51.58 2.46 4.129274995446247 328.5657758247637 17.485774446233236 1
270 1309.14 448.8 0.21 78.7 1.6 2.1145756921326613 328.4756618735407 17.48477736173388 1
272 1157.57 453.36 0.32 5.83 2.39 3.491382846051726 328.48995794959296 17.485289336649096 1
276 54.0 460.44 0.36 33.79 3.61 9.12635393945948 328.59284051004175 17.487760403216324 1
277 659.71 460.58 0.17 -55.13 3.52 7.342733021192014 328.5368992779811 17.48652631538154 1
283 1767.85 473.93 0.15 -28.85 5.14 11.962204633685154 328.4326953915195 17.48688929751709 1
285 257.34 475.25 0.27 -6.3 3.48 8.438211285709881 328.57430581209337 17.488584706320903 1
302 726.11 487.3 0.25 40.67 2.82 5.586119699286806 328.5306507687418 17.488805937344967 1
311 1589.37 504.88 0.43 -84.96 4.3 10.67693107843813 328.4492473268432 17.489655162352943 1
316 942.88 504.89 0.29 -7.15 3.14 5.8613448826132615 328.51019655483077 17.490097228236632 1
324 482.35 516.48 0.06 -19.6 2.71 4.189130801313379 328.55347667960706 17.491798843820973 1
332 1997.53 524.59 0.19 -57.13 3.19 5.749816922527889 328.4114577561614 17.491400475259113 1
342 764.84 534.68 0.17 -10.93 2.52 4.7803266924941505 328.5269808608831 17.492981813594735 1
355 1085.39 555.63 0.14 -3.31 2.26 3.1678984507199512 328.4966723144599 17.49449172801391 1
395 1888.3 597.91 0.04 38.31 3.74 7.181740739610456 328.42130660974465 17.497884895996545 2
441 1167.05 675.54 0.25 65.97 2.71 6.348601355315465 328.48881253645806 17.505185097665095 1
442 31.58 680.43 0.23 -3.01 2.03 5.156266109548347 328.59495243117476 17.507230386372854 1
465 1475.07 715.99 0.11 -40.66 3.61 6.7084715563536435 328.459643262372 17.50859304803631 2
502 1379.21 766.47 0.46 -29.43 2.19 3.2537790837990075 328.46862259477484 17.513202248902655 1
542 1900.14 824.72 0.47 81.54 2.03 3.0570595036364647 328.41980664176486 17.518097166292304 1
543 629.25 832.87 0.23 43.5 4.51 8.727556216932012 328.53957461270005 17.519942098899023 1
546 617.7 845.72 0.08 89.5 4.22 7.161132081681328 328.5406526960555 17.521114516634757 1
