NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
1 98.91 18.43 0.71 -74.39 1.95 5.113606115431531 339.9723176500286 -5.844481463673888 1
11 1166.78 42.27 0.22 -75.28 3.99 13.7419972129048 339.87780428150046 -5.844475366990396 1
13 69.6 43.81 0.22 19.4 3.78 19.620959960902333 339.9748832105799 -5.8422204912129185 1
28 1952.23 92.3 0.39 -18.21 4.3 21.643792946237944 339.8082403765115 -5.839626724918495 1
52 865.02 156.4 0.21 75.18 4.79 18.05273526671774 339.9048216776135 -5.834316001231388 1
55 1396.73 170.47 0.54 -66.07 3.57 11.084036884299802 339.85703551578183 -5.833357661567886 1
71 178.56 225.9 0.24 35.64 3.24 12.692464619823387 339.9657723651755 -5.826902992735683 1
73 1917.19 226.4 0.37 -56.23 3.91 13.170163300472968 339.81088508772876 -5.8281077459108035 1
79 1312.41 243.91 0.4 70.91 2.39 5.603577290418034 339.86449389830636 -5.826925461656342 1
82 1442.14 255.44 0.15 -67.53 5.01 16.215256308450883 339.85283659643574 -5.825909727239671 1
86 1563.61 260.33 0.29 -71.37 3.61 10.502454479621605 339.84197619394104 -5.825444491284328 1
90 1894.64 265.77 0.07 -19.08 2.46 7.46023142345493 339.8127457879127 -5.824710774069633 1
93 1824.2 275.49 0.44 -23.33 2.11 5.680320731858331 339.8188863019563 -5.823936557138956 1
109 1562.11 307.8 0.51 -52.67 2.19 4.839219668228643 339.84202392674024 -5.821274255001849 1
112 1052.26 323.48 0.26 -77.24 4.15 11.970465599160953 339.88786842855785 -5.819798323981294 1
124 1002.85 372.64 0.57 -2.33 3.09 8.707533205140026 339.89230289751964 -5.81540506334411 1
127 1412.09 383.84 0.16 -26.14 2.59 6.3315471131382814 339.85534439099473 -5.814580143332988 1
129 1966.84 397.63 0.43 -79.58 6.13 30.65037520427161 339.80612645604106 -5.813107501447588 1
131 1397.02 398.01 0.45 -58.37 6.18 29.731888236737337 339.8566804383894 -5.81332249495441 1
152 1646.47 458.61 0.18 76.02 3.04 9.198708507526195 339.83424027084095 -5.807919610639236 1
155 584.65 465.06 0.54 18.15 5.7 26.0919323569872 339.9299949747253 -5.806709431363954 1
161 943.05 476.02 0.53 -72.89 5.7 19.619592988543474 339.89765717146673 -5.806153027295823 1
166 277.76 483.25 0.26 -85.55 4.44 23.512837749739568 339.95731187316824 -5.804573024511132 2
184 1222.59 517.5 0.09 -59.01 3.04 6.892679812168447 339.8722963394072 -5.802629651321827 1
185 1238.04 530.52 0.13 12.78 5.7 22.760864359592205 339.87088505129685 -5.801472047698616 1
190 1476.74 534.22 0.14 -27.25 3.19 7.196224951386178 339.84932843413463 -5.801204017548016 1
191 785.31 533.79 0.35 26.75 2.65 6.078247482799917 339.91190973151066 -5.8008350802686905 1
192 67.98 535.98 0.7 74.97 1.95 4.7632634856209695 339.97569458401205 -5.79948793706005 1
194 917.35 535.55 0.03 -81.57 2.11 4.189229017980921 339.8999558487025 -5.800808977405319 1
209 36.02 567.11 0.35 8.94 2.88 9.749271870925634 339.97848383135346 -5.796675091550392 1
221 1948.59 605.1 0.37 -40.08 3.74 9.96915722963551 339.8072842698791 -5.794814540966454 1
227 474.62 623.66 0.26 65.14 4.55 13.201209583263799 339.93985855058537 -5.792407670765627 1
248 1591.68 652.2 0.37 -2.12 1.87 3.7088665031381285 339.8388520579578 -5.7906625218098995 2
253 920.27 678.37 0.65 -82.26 3.24 13.315335276625616 339.89961661773503 -5.7879880638494186 1
254 538.17 682.38 0.19 57.17 4.85 16.85292611888982 339.93415796407504 -5.787233128220143 1
260 701.68 689.17 0.5 -44.22 2.19 5.441759366075589 339.9194224639637 -5.786809800439868 1
261 1158.48 691.01 0.11 -19.68 3.24 8.191935800316633 339.87796325848393 -5.787019473646407 2
273 1880.52 712.73 0.41 -39.6 5.32 17.680828876906677 339.8130845422127 -5.785256435769945 1
279 1234.46 725.33 0.41 13.13 2.33 6.361243099675995 339.8710347748568 -5.783969609345114 1
282 1137.04 730.36 0.12 50.11 3.95 10.051926173479359 339.87988186812584 -5.783459398113 1
289 1884.18 743.22 0.44 -21.2 2.93 8.118368879646413 339.81271839892173 -5.782535676962254 1
295 1408.55 755.76 0.4 -12.97 6.46 21.49693575223603 339.8552300168643 -5.781309096003272 1
307 1299.44 782.52 0.37 -32.9 4.85 19.97723019464715 339.865089278799 -5.77884539269933 1
314 1162.34 789.97 0.19 -84.6 4.51 15.119754810470011 339.87753648394477 -5.778095334170657 1
321 1401.79 800.42 0.17 42.09 2.76 6.004423789120556 339.85579963316366 -5.777280745440664 2
322 1904.79 801.62 0.06 -45.95 3.14 8.52249184787575 339.8108262093893 -5.777321477831812 2
324 1147.63 806.34 0.33 61.12 4.55 14.355600182948654 339.8788623036595 -5.776607091024388 1
329 1267.18 819.16 0.27 76.74 3.34 9.552046647110876 339.8679873570845 -5.77551982215914 1
331 827.26 822.55 0.21 19.85 3.61 8.884393960174116 339.90798615093115 -5.774905420484347 1
332 1522.98 824.86 0.34 -53.29 3.39 9.875847019144398 339.84483395099795 -5.775130168908469 1
334 548.27 824.03 0.45 10.44 2.93 8.123697173441645 339.9332128332365 -5.774513164928169 1
342 1768.84 842.56 0.18 -18.12 3.48 9.91238606367359 339.8228034821881 -5.77362556175672 1
346 1082.38 846.57 0.3 45.5 2.26 5.044920237463819 339.8847705593023 -5.772927152676436 1
348 1198.67 851.3 0.24 -35.99 2.39 5.269285892539353 339.8741874917834 -5.772574785781314 1
350 259.2 853.78 0.18 -87.63 3.34 13.550479434968661 339.95900073443204 -5.771529704343634 1
351 940.74 855.19 0.52 32.49 5.73 19.915673662772665 339.89765427997764 -5.772045719667027 1
352 1835.77 855.9 0.4 36.27 3.14 10.676935894908674 339.81685249436003 -5.772449492376267 1
357 1429.56 861.87 0.1 32.89 3.04 6.02167724571038 339.85323359109896 -5.771749391496915 2
366 1178.49 878.43 0.13 -57.21 5.26 17.45723002821243 339.87600308981877 -5.770108475883213 1
367 912.82 875.53 0.27 -1.26 2.11 4.5596508721387 339.9001815970266 -5.770184645361318 1
372 1305.37 900.52 0.61 -48.17 5.64 22.252327431429187 339.8644550755373 -5.76818812171215 1
374 1383.55 896.72 0.34 3.26 2.93 7.01579854555761 339.85736872023284 -5.768577141739984 1
378 1935.11 906.08 0.05 -15.68 5.14 14.432432466595223 339.8080401004611 -5.767990034937288 1
381 1041.04 913.1 0.34 -45.36 5.41 16.41615881902697 339.88848866280966 -5.766878075079518 1
384 1210.18 913.15 0.25 -78.53 2.19 4.397053371113804 339.87309574514273 -5.766987394618284 1
387 2021.93 919.31 0.38 -2.27 2.93 8.0701397966756 339.80042887363857 -5.766840401753571 1
388 386.36 922.71 0.13 6.33 5.38 16.430478215667573 339.94768085693346 -5.7654753977886095 1
392 1295.34 925.74 0.67 -30.75 2.88 7.5361842628051345 339.86534669175086 -5.765901038536196 1
394 1356.08 928.78 0.35 -30.01 1.69 2.6205948216992407 339.8598327764646 -5.765663633341615 1
396 1020.91 933.68 0.27 77.13 1.87 3.382967624708411 339.89030814373314 -5.765001137733717 2
399 710.06 935.67 0.44 34.34 2.59 6.05100289845103 339.91855408822425 -5.764586325546781 1
402 1637.72 942.9 0.32 82.07 2.11 3.703913027532179 339.83441429498544 -5.764548012046497 2
412 1981.39 961.84 0.33 -55.37 3.91 15.423830624165873 339.8039292201666 -5.7630245967609115 1
413 393.0 963.68 0.34 53.27 3.39 10.559377144781624 339.9470680123461 -5.761796983104573 1
414 1478.29 965.16 0.21 13.14 2.88 11.212226043977264 339.8487453609319 -5.762448964170321 1
415 256.77 965.74 0.08 -51.73 2.19 3.101407133104722 339.9591730922459 -5.76149414479946 1
417 632.91 972.63 0.08 62.9 3.34 7.278820927798174 339.9255111110506 -5.761185713628107 1
420 589.5 975.53 0.17 -16.19 2.46 7.197297169256432 339.9294275348863 -5.760889943088314 1
434 1839.31 999.37 0.19 25.27 3.83 10.392393447270946 339.8164052768315 -5.759584591667787 1
435 574.94 1000.02 0.45 59.8 1.95 4.04044449665692 339.93072568249084 -5.758667986037191 1
439 397.81 1007.76 0.36 71.28 1.78 2.9345325886345806 339.94661393517714 -5.75783494589885 1
443 1344.69 1013.48 0.39 -51.1 2.46 5.426953760646777 339.86080505023534 -5.757994601922918 1
