NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
12 1265.4 46.12 0.39 -8.94 1.69 6.116394542993893e-13 339.97900367331545 -5.720031080702263 1
26 1322.83 78.9 0.36 -73.39 2.71 1.173077164457355e-12 339.973899827677 -5.7171906541830735 2
31 40.89 98.75 0.53 56.26 1.6 4.556054437496528e-13 340.08727617390014 -5.714514903935085 1
37 1954.51 128.68 0.66 64.28 2.11 1.033927308381222e-12 339.91799063537246 -5.713265751800348 1
48 1863.23 185.47 0.17 -64.02 6.26 3.638565772583978e-12 339.92602448500554 -5.7082089937760205 1
54 551.9 217.86 0.43 26.89 1.6 5.025653480270931e-13 340.04198883342093 -5.70441776395349 1
69 985.87 267.36 0.31 -72.99 1.87 5.524721359061304e-13 340.00356875204096 -5.700381084191784 1
83 780.13 300.67 0.27 67.8 1.69 4.271632021133782e-13 340.0217418971688 -5.697304347411455 1
119 1425.35 415.94 0.08 -12.88 4.11 1.7803302083113735e-12 339.9645898298511 -5.687636448373222 1
121 1943.09 417.03 0.16 8.09 2.88 1.2966035601404592e-12 339.91879585626725 -5.687909490198028 1
133 1761.0 454.36 0.37 85.22 5.97 4.746422131591271e-12 339.9348744389805 -5.684498724712576 1
141 1315.48 477.59 0.36 -57.21 2.52 9.581079040237725e-13 339.97426280809265 -5.682138304544619 1
155 1892.41 521.16 0.15 -18.33 3.87 2.0799243750670905e-12 339.92320416595345 -5.67872017981191 1
160 1723.58 539.11 0.06 65.24 3.39 1.2058532896592565e-12 339.93812329360316 -5.677021894593148 1
166 1819.48 550.9 0.5 -25.66 1.69 4.845541240258181e-13 339.9296334605573 -5.676053727337025 1
168 1284.72 557.78 0.46 -67.11 1.95 6.315362378578176e-13 339.9769261120694 -5.675067080320817 2
174 55.51 578.04 0.49 27.48 3.83 2.3414946470472215e-12 340.085629068659 -5.672392231778424 1
176 1964.75 588.05 0.35 -75.31 5.73 3.980855799310005e-12 339.91675851826955 -5.672891565482723 1
180 75.11 597.86 0.22 49.0 1.6 3.5865573965728014e-13 340.08388092480976 -5.670664869831372 2
182 1623.97 601.7 0.58 41.64 2.39 1.0587199879289636e-12 339.9468889219693 -5.671448832093654 1
183 936.87 606.42 0.44 -45.26 2.03 7.251144725708182e-13 340.0076562967376 -5.6705401429844535 2
195 43.77 677.69 0.26 22.97 5.23 4.578121968952304e-12 340.0865939236177 -5.66362379832959 1
206 1749.83 734.49 0.25 -89.61 1.78 5.109623969479497e-13 339.93566237371016 -5.659865111152512 2
228 1654.92 812.59 0.37 3.5 8.1 5.979126167616384e-12 339.94400038653754 -5.652932494829981 1
230 1569.44 819.41 0.55 -51.1 2.39 8.592853801013821e-13 339.95155555373435 -5.652271969755878 1
235 286.81 843.79 0.12 39.93 4.26 2.9979461717843156e-12 340.0649767642793 -5.649200565944831 1
253 629.4 921.25 0.4 -82.56 2.33 9.953412747233352e-13 340.03462090918794 -5.642641036775227 1
265 1694.53 972.66 0.67 -52.42 1.78 4.989801732065835e-13 339.9403828214977 -5.6388889963762425 2
269 34.17 989.31 0.48 22.94 2.46 1.2942291613440936e-12 340.087213529627 -5.6362232502205405 2
275 964.22 1021.47 0.78 -89.06 3.48 1.874632860834547e-12 340.00493648452795 -5.634073646235835 2
310 280.12 1152.26 0.5 -46.04 7.02 6.5029247211726024e-12 340.06534182633027 -5.62207903780871 1
314 1868.53 1171.68 0.36 56.6 2.71 1.1088808453062994e-12 339.9248519178966 -5.621517329688827 1
331 1647.58 1248.64 0.03 -1.49 3.39 1.4423914669536793e-12 339.9443376275998 -5.6145944825725405 2
334 702.21 1277.15 0.51 21.84 1.87 6.11762942710207e-13 340.0279219331324 -5.611408101689639 2
335 1464.74 1281.04 0.04 1.92 3.78 2.1026251521897566e-12 339.9604839189833 -5.61161608401648 1
342 1118.51 1336.24 0.55 21.74 1.6 4.28904291841868e-13 339.9910631060977 -5.606514644745528 1
346 1907.3 1344.18 0.41 20.86 1.78 6.072235743482121e-13 339.9213008770396 -5.606380952049517 1
382 670.87 1498.02 0.53 66.3 1.69 4.411731427284479e-13 340.0305325461174 -5.591969162238908 1
399 295.61 1590.94 0.5 40.65 7.18 7.556953452799735e-12 340.06365032550775 -5.5835275198770375 1
444 1517.14 1749.24 0.53 54.37 1.6 3.957889266555468e-13 339.9555138074536 -5.5704951884987235 1
455 21.45 1799.03 0.34 22.41 5.94 4.816539424836544e-12 340.0877411541478 -5.5650340896708075 1
464 966.65 1852.16 0.49 34.41 1.6 4.744099082736558e-13 340.0041193791022 -5.5610523975486466 2
471 1372.49 1878.52 0.54 0.76 1.6 4.685131502969768e-13 339.96821208818335 -5.559027164037459 1
487 933.59 1946.41 0.32 27.72 3.04 1.4839116481594153e-12 340.00697375921465 -5.552742712374027 1
494 263.24 1989.31 0.26 -44.77 7.48 6.973778342871428e-12 340.0662203206321 -5.54848466499673 1
498 383.6 1991.63 0.68 -23.02 1.6 4.842815259145666e-13 340.05557513192065 -5.548368584366048 1
563 734.03 172.18 0.37 39.4 3.19 1.260079152110557e-12 340.02591281319866 -5.708566052015161 2
564 740.15 176.28 0.15 17.11 2.11 6.167634761405458e-13 340.0253687396737 -5.708210418817318 1
597 405.1 1635.65 0.24 25.02 9.18 1.1520058105026722e-11 340.0539348068851 -5.579676997091008 1
598 399.19 1642.91 0.64 24.13 3.74 2.163850716077027e-12 340.05445243418075 -5.579034288183166 1
