NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
5 604.72 24.05 0.26 36.93 3.04 1.1725170954564638e-12 339.82569468280343 -5.98792184574802 1
18 592.71 49.59 0.35 18.34 1.6 3.3206456038602505e-13 339.82674045928144 -5.985669445560456 1
26 1898.55 68.46 0.03 -72.76 1.95 5.466483479890265e-13 339.7110893598244 -5.984901370722512 1
27 1048.9 73.74 0.22 31.54 2.46 1.3007111900538126e-12 339.7863262089806 -5.983861510107843 1
34 342.58 84.81 0.33 34.82 1.95 5.637215104653347e-13 339.84886624922154 -5.98240240069114 1
37 1641.56 102.21 0.64 78.3 2.33 1.0976827670179268e-12 339.7338240154917 -5.981762610017578 1
53 1653.54 160.39 0.37 -51.52 3.19 1.1191466227695e-12 339.73272450778325 -5.97665851352807 1
71 665.79 219.13 0.06 77.69 4.65 1.5285142608607497e-12 339.8201515887024 -5.9708237474832275 2
80 2028.4 243.2 0.53 59.12 8.57 6.964718972140728e-12 339.69947344629816 -5.969634915073928 2
81 1973.94 238.24 0.29 -37.8 3.74 1.520766364615905e-12 339.70429916139994 -5.970034193564453 1
94 1581.45 284.86 0.19 -89.09 5.14 3.190630564335048e-12 339.7390230529933 -5.965673318304737 1
128 772.25 391.94 0.1 -16.94 4.37 1.570718099578417e-12 339.81060467595967 -5.9557128121567375 1
136 805.98 409.69 0.32 44.11 3.04 2.266960012907006e-12 339.80760579049644 -5.954176795247456 2
159 1765.64 493.09 0.49 32.29 1.6 3.7117595260266213e-13 339.72257279999 -5.947501536390483 1
166 1532.94 517.11 0.32 -47.43 4.79 2.3434528711483285e-12 339.74316101731057 -5.94523368917653 1
167 944.73 520.78 0.31 53.0 6.53 4.126600279711308e-12 339.79524329650286 -5.944510811847295 1
175 1446.76 535.65 0.3 -33.65 8.35 4.219136034963469e-12 339.7507800735156 -5.943546794500688 1
195 1982.68 578.22 0.04 16.76 4.3 1.5275204285937673e-12 339.7032966929047 -5.94016767450256 1
197 739.04 579.03 0.56 39.83 1.87 5.863474472322396e-13 339.81341696359505 -5.939250843186244 1
203 1040.13 591.75 0.21 -32.11 2.26 7.984016995948294e-13 339.78674729522425 -5.938339794787051 1
207 1966.28 599.0 0.3 -0.24 3.19 1.2125034409825696e-12 339.70473489309984 -5.938330725267649 1
210 1968.67 611.75 0.32 7.05 7.14 4.142498924501413e-12 339.70451446745255 -5.937211705453764 1
223 298.44 660.37 0.54 38.78 2.59 9.933703195199862e-13 339.8523734349082 -5.931799743715724 1
