NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
3 356.05 17.73 0.42 -13.76 2.46 1.0655254264104413e-16 322.47981755057566 0.00041927513391973987 1
9 1335.8 33.54 0.33 0.14 2.33 1.0581000497396065e-16 322.39381613149556 0.000948004151096849 1
14 1581.09 41.98 0.35 -84.85 2.11 7.981302697524093e-17 322.3723800561776 0.001387750666673266 2
33 1388.8 70.4 0.19 -85.99 3.43 1.4075279093035705e-16 322.3891470297477 0.004133645137961315 1
39 1512.69 77.25 0.3 -37.7 3.87 1.968208556604384e-16 322.37831747983813 0.0045860421176389 1
50 1520.78 88.87 0.38 80.92 1.6 5.203764865651336e-17 322.3775999559846 0.005599736377098274 2
52 735.99 90.17 0.21 73.54 1.69 5.475376405838709e-17 322.4463294654898 0.0065267043703289155 2
54 325.18 96.7 0.33 58.06 3.29 1.6517613460435252e-16 322.4824647233564 0.007383227980268146 1
59 1671.39 100.92 0.17 87.57 3.52 1.4355272393659071e-16 322.3644448654384 0.006465108006458328 1
62 1953.24 106.79 0.29 -43.55 1.87 5.501535170905029e-17 322.3398832231276 0.006579684018569324 1
75 425.26 126.24 0.52 50.38 2.33 8.99523328259635e-17 322.4736234287591 0.009921369175337492 1
91 1087.82 148.36 0.02 78.66 2.88 9.833203774169223e-17 322.4154117229758 0.011331339796079542 2
107 814.45 183.92 0.1 14.28 1.95 6.523268929617444e-17 322.4393537759061 0.014710927655855842 1
126 597.38 217.76 0.14 29.43 2.65 1.0198167249211303e-16 322.4583965129672 0.017853794779859086 1
147 1646.26 252.13 0.35 -79.22 3.29 1.3453242799540344e-16 322.3664938843117 0.019824691250185635 2
148 1673.8 250.6 0.15 -89.66 2.52 1.0546906281562833e-16 322.36409259170944 0.019653177501837645 1
149 45.54 250.99 0.38 86.08 2.03 1.1384994162602744e-16 322.5069954842254 0.021068472163054505 1
159 530.36 268.92 0.17 54.87 3.91 1.5033342164480143e-16 322.4642456504738 0.02239497926046872 1
165 259.25 274.6 0.33 -16.91 1.6 4.903116684331889e-17 322.4881182562258 0.0230491888049978 2
169 1947.49 281.73 0.23 68.96 5.23 3.3827090988999463e-16 322.3402162822826 0.02201267581939773 1
171 1354.87 281.37 0.49 56.71 1.6 4.772813178831664e-17 322.3919161210671 0.022754747816761574 1
184 1684.46 300.36 0.54 13.61 1.6 6.460644045837863e-17 322.36311631123675 0.02402202314301097 1
199 652.13 338.04 0.3 42.2 2.46 8.799282472382909e-17 322.453475740112 0.02838384746667236 1
200 183.72 339.06 0.47 -42.62 2.26 8.805384400333342e-17 322.4947236927707 0.028742207390331034 1
217 60.6 359.67 0.4 26.42 2.39 1.1354473256371408e-16 322.5055721836211 0.030599457342482036 1
224 319.76 373.51 0.54 41.31 2.39 9.37639160133338e-17 322.482698811517 0.03170098947965714 1
226 772.2 374.23 0.4 -70.98 1.78 7.588899145901431e-17 322.4428938849129 0.0314741695397276 1
237 287.56 398.98 0.34 27.73 1.78 4.7975378180899114e-17 322.48551502910357 0.03395243562951175 1
242 1258.64 407.53 0.29 -59.88 2.59 1.014317081990546e-16 322.40021985974386 0.03395696776723809 1
248 1447.25 413.9 0.41 -81.61 3.48 1.6842544265593787e-16 322.3837213553327 0.034308049792057496 1
275 505.59 457.87 0.17 12.28 8.04 8.773355115091039e-16 322.4662611110146 0.03900053738448329 1
278 716.22 454.07 0.19 27.46 2.82 8.392628925086244e-17 322.44774231714104 0.038526961603046805 1
284 1265.27 463.78 0.32 52.82 1.78 4.908685105437016e-17 322.3995896725601 0.038894257083961624 1
294 342.71 478.32 0.31 40.52 4.11 1.8081428247399315e-16 322.48058723582545 0.04088467049580249 1
313 403.23 501.23 0.22 77.7 2.03 5.827308515734333e-17 322.47523642861773 0.042861841381629406 1
326 683.92 527.79 0.08 43.62 3.14 1.6403123676931759e-16 322.4505170590615 0.04501945464955943 1
340 1945.4 556.83 0.3 -63.89 2.46 1.0132225197422659e-16 322.3401443368277 0.04623470872898212 1
379 254.85 610.41 0.43 67.71 2.52 1.1711270068947207e-16 322.48822180963396 0.05250347085936754 1
382 55.18 614.59 0.33 49.17 1.87 5.88602128005012e-17 322.5058390374168 0.05294274888399246 2
395 1723.49 631.47 0.22 41.63 2.11 6.149899152517445e-17 322.3594130676078 0.05309699154814663 1
411 1854.47 660.59 0.66 0.68 1.78 5.320097239455722e-17 322.34797037685166 0.055482916217483816 1
414 1206.57 664.72 0.39 50.86 1.87 6.244666985953665e-17 322.4045521829538 0.056599469479826345 1
415 1849.34 668.44 0.6 -52.52 4.37 2.6932959113556005e-16 322.348410410908 0.05618013699538727 1
428 1539.6 683.8 0.35 78.84 3.09 1.4947801567535918e-16 322.37541503298553 0.05791866629375229 1
430 118.79 685.09 0.25 20.39 2.52 1.172286636284691e-16 322.50016574403884 0.05909488563552957 1
442 1945.21 706.31 0.43 -44.41 5.47 3.9792653634534002e-16 322.3400273321459 0.05937627065658717 2
448 1607.65 720.44 0.15 45.68 2.19 6.662923031320862e-17 322.3694417430499 0.06105463963148908 1
463 1609.24 749.41 0.45 -32.68 1.69 4.6662711684091435e-17 322.3692782538273 0.06359618783503232 1
473 158.5 767.87 0.32 -73.82 3.24 1.5256960738514585e-16 322.496594694688 0.06632547063053476 1
478 1841.67 771.44 0.2 -65.05 2.26 7.769162086261596e-17 322.348989243813 0.06523766527248798 1
488 1057.1 790.78 0.27 78.98 2.88 1.1814155024917666e-16 322.4175401213692 0.06779244812521035 1
497 1600.99 803.07 0.12 23.06 3.74 1.846267243542781e-16 322.36995269304794 0.06831533301326786 1
541 1400.57 855.46 0.17 48.87 3.19 1.4541806789397095e-16 322.38741823144693 0.07313356654505683 1
548 1150.05 868.87 0.29 -82.32 2.19 6.161800955232944e-17 322.4093306961313 0.07455369979371586 1
552 760.38 874.04 0.09 -88.38 2.33 7.424702696453137e-17 322.44351152810174 0.07531295430729679 1
559 464.46 881.95 0.35 -23.41 2.82 1.293650581132555e-16 322.46953319494486 0.07617875319546397 1
571 712.12 894.72 0.14 61.62 4.44 1.7532095651697383e-16 322.4477361170257 0.07715513903142274 1
578 1355.4 901.91 0.39 20.55 1.69 4.468644607710624e-17 322.3913290442606 0.07725201472371225 1
602 1543.47 935.07 0.16 -23.02 2.26 8.624678801979181e-17 322.37486406559003 0.07995735133867775 1
661 1384.87 957.01 0.32 78.83 2.11 7.616867200658294e-17 322.3887071443612 0.0820501075711382 1
675 640.53 985.65 0.44 -51.27 9.54 8.510264608810965e-16 322.4539575633001 0.08515378711905043 1
677 1061.7 978.92 0.22 63.69 2.76 1.2930534497254155e-16 322.41698357498234 0.08426802954892025 1
684 83.23 987.91 0.33 30.94 2.82 1.2487957259203344e-16 322.50306895320415 0.08558482301875935 1
697 847.28 1000.91 0.22 -75.81 2.59 8.473145922436696e-17 322.4357777951878 0.08635637067721362 1
700 905.89 1002.52 0.22 -50.67 1.6 4.297560022002966e-17 322.43063184517644 0.08645506164855404 1
701 673.44 1005.1 0.27 50.57 2.65 1.138569926452869e-16 322.4510488782854 0.08683522357020117 1
728 610.59 1031.03 0.58 27.33 1.6 4.361860637719847e-17 322.456555453682 0.0891394512070724 1
749 888.99 1060.01 0.47 -86.12 3.61 2.1074847398664563e-16 322.43206945090657 0.09149653395536567 1
753 688.4 1065.98 0.59 -45.98 2.59 1.4958065368651411e-16 322.4496860961171 0.09214956278388525 1
758 1130.83 1070.72 0.17 79.2 2.93 1.0980066922383735e-16 322.41085186462743 0.09224422822523494 1
759 1782.39 1070.41 0.19 -5.8 3.14 1.361106397994709e-16 322.35390365042844 0.0915375288875545 1
770 710.86 1082.32 0.18 -20.95 4.3 1.8676299678522497e-16 322.4476988953986 0.09356464576125077 1
796 1126.03 1124.76 0.18 -46.35 2.82 1.0777552112895611e-16 322.4112304099604 0.09697543001834882 1
847 1767.9 1171.76 0.29 89.73 2.19 9.852361596134039e-17 322.3550853098769 0.10043235858151132 2
852 1062.32 1179.36 0.16 -58.68 5.17 2.930724215200793e-16 322.41677210060817 0.10180195020451187 1
868 1295.89 1207.23 0.07 29.12 1.87 5.153822086334078e-17 322.3962912912553 0.10403872487389146 1
870 1648.29 1210.93 0.39 35.65 3.39 2.0758307080621417e-16 322.36548861030013 0.10400060225745109 1
881 1402.33 1224.62 0.15 60.57 5.05 2.6613375841693663e-16 322.3869664455779 0.10545807562087224 1
888 720.1 1238.22 0.33 76.73 1.69 5.243725996099148e-17 322.4467686485014 0.1071794431218176 1
896 174.77 1245.25 0.27 30.04 1.78 5.761930772613242e-17 322.4947966155603 0.10802213098298243 2
897 806.1 1246.01 0.41 89.55 1.78 5.2526145798321003e-17 322.4392056344667 0.10780769467230444 1
902 1789.02 1256.42 0.39 3.14 5.14 4.3561481282186833e-16 322.35317621119106 0.10781783960178676 1
912 976.86 1267.78 0.26 -84.39 3.09 1.5670669914489624e-16 322.4241989799426 0.10959341842850819 1
928 720.85 1294.31 0.4 -57.59 1.87 5.956227720412225e-17 322.44666064427724 0.11207616993976965 1
961 253.21 1333.31 0.11 72.19 3.95 1.8017208847424948e-16 322.48781195869964 0.11567881332107914 1
998 2021.81 1382.14 0.48 -76.98 1.87 4.7279157360915655e-17 322.332797886442 0.11852494213123507 1
1003 785.08 1396.29 0.52 -74.52 1.78 5.55258808848643e-17 322.44094180849515 0.12093832883999339 2
1004 788.97 1395.24 0.41 34.63 1.6 4.501420951947611e-17 322.440600146167 0.1208439597074196 1
1011 2004.36 1402.23 0.1 30.11 3.29 1.7027676258312683e-16 322.33430110678296 0.1203050210746717 1
1013 1001.68 1411.67 0.17 50.97 7.07 4.735207886643931e-16 322.4219146440532 0.12213878940725316 1
1015 787.8 1407.93 0.52 -5.83 2.26 1.0418999186894562e-16 322.4406944457667 0.12195171397077198 1
1018 373.72 1412.25 0.32 -18.57 2.03 6.326050666379351e-17 322.4771297145392 0.122521738345504 1
1022 534.04 1414.88 0.02 32.39 2.59 8.362986074992953e-17 322.46300642836894 0.12268792632081835 1
1024 1081.57 1418.75 0.27 -6.4 2.99 1.0975416020503653e-16 322.41490340383535 0.12269851892842591 1
1026 196.14 1423.19 0.01 -17.53 5.23 4.595619918499291e-16 322.4927839495559 0.12352662055885748 2
1027 1593.9 1419.34 0.26 67.81 1.69 4.052762794271328e-17 322.3700758212324 0.12228426664348073 1
1098 1757.34 1545.73 0.12 40.46 3.09 1.3917171726228615e-16 322.3557164122785 0.13314710053464981 1
1103 850.12 1550.66 0.1 -77.01 2.93 1.0160517591633366e-16 322.43511725624126 0.1343601042653159 1
1104 598.57 1557.82 0.38 39.08 8.97 6.219982214353995e-16 322.4572265648237 0.1351157274551703 1
1115 679.39 1584.24 0.56 -64.34 8.43 7.932070342817359e-16 322.4500982714769 0.13737966466992654 1
1133 267.89 1616.26 0.3 -70.98 3.19 1.446771702183144e-16 322.4863211562442 0.14031825461757516 1
1135 1947.57 1623.96 0.41 54.99 5.08 3.4389475981135455e-16 322.3390767291034 0.1397542578797988 1
1148 1422.15 1632.08 0.31 -88.2 2.11 8.200564746766878e-17 322.3849271263242 0.14102606165520298 1
1153 549.05 1651.48 0.27 -7.73 8.76 7.612911718431375e-16 322.4615199257005 0.14329236198570808 1
1158 668.02 1654.35 0.67 66.26 1.87 4.33194110328803e-17 322.4510503504542 0.14349039474239245 1
1170 384.74 1671.66 0.44 -70.3 1.6 4.1979147563481054e-17 322.4759802867505 0.1451066978726533 1
1174 1694.62 1674.65 0.3 -87.31 1.6 4.5903810420817236e-17 322.36109375208355 0.14446909009281791 1
1178 1450.46 1682.67 0.3 39.95 2.03 5.2423471573700913e-17 322.3824155789832 0.14541201416224084 1
1181 308.26 1685.91 0.5 5.64 2.19 7.62610822244236e-17 322.4827132741535 0.14636718489780692 2
1215 933.7 1752.8 0.14 24.34 2.82 1.1261679070571273e-16 322.4276380901081 0.1519179768488959 1
1227 149.97 1774.52 0.26 -50.74 3.74 1.8377387959337718e-16 322.4966243379111 0.15410281277460644 1
1231 1122.2 1778.77 0.25 -75.41 2.33 9.917540064375567e-17 322.41108589920765 0.15405440669957368 1
1234 1146.31 1787.12 0.09 86.07 2.26 9.593115687274884e-17 322.40896685089155 0.15476416019430803 1
1235 1171.5 1791.07 0.12 -53.15 4.72 2.4628000854376817e-16 322.40675660695854 0.1550899867004735 1
1236 852.77 1791.48 0.04 80.09 2.11 5.3007135781759464e-17 322.4347185226092 0.15533130058596378 1
1275 236.28 1864.84 0.35 -36.03 2.82 1.1366130031934156e-16 322.4889478732813 0.16193528756761794 1
1279 170.37 1869.76 0.41 19.14 1.6 3.628547706764771e-17 322.4947626070807 0.1623734198855274 1
1282 292.46 1877.32 0.28 -29.53 3.95 1.8868736078148646e-16 322.48398302530103 0.16300811141611254 1
1285 816.98 1878.6 0.52 -8.92 2.71 1.2403726151276014e-16 322.4378052725692 0.16292946269445505 1
1294 380.53 1899.52 0.29 -37.22 2.65 1.1195875054649535e-16 322.4762025577314 0.16491645142894612 2
1298 260.0 1905.87 0.41 -66.53 3.87 2.2204546061993887e-16 322.48682865986797 0.16549472374553678 1
1313 310.29 1936.27 0.14 -26.8 4.03 1.9110695687510755e-16 322.48237313580375 0.16812399993582094 1
1314 477.75 1938.25 0.47 -54.31 5.2 2.7846338983704473e-16 322.4676104547399 0.16825302227446198 1
1316 1195.99 1937.13 0.02 -44.9 1.69 4.2284044920312007e-17 322.40451288600264 0.16778402452983923 1
1339 37.01 1989.01 0.26 -48.93 3.83 2.447535031208051e-16 322.50646955168776 0.1727357808148794 1
1374 725.15 1647.36 0.5 57.02 14.98 8.54002753201063e-15 322.4460312630736 0.14285388192175727 1
1449 723.68 877.02 0.13 -17.17 3.43 2.056503942874283e-16 322.44673431779717 0.07559784731212849 1
1468 1068.8 1037.57 0.39 -20.02 18.29 2.6765127466517762e-15 322.41631488680457 0.08939581922190201 1
1505 640.46 1649.15 0.41 -13.53 2.76 1.4953642093401571e-16 322.45347772146977 0.14305072939942992 1
1517 135.14 1788.87 0.14 -84.38 5.53 4.016401645067529e-16 322.49792481488015 0.15535119816817264 1
