NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
9 69.51 31.25 0.54 65.93 1.6 4.147027718777869e-17 322.3529324387444 0.03208307719107369 1
22 221.99 52.77 0.25 8.17 2.33 4.0677651020731944e-17 322.3399521755281 0.03527485052477807 1
35 901.92 76.96 0.01 48.14 1.69 1.772921968780225e-17 322.2815171613506 0.04306343091980348 2
37 1056.07 83.6 0.07 45.2 3.39 5.64251874850391e-17 322.26827342996586 0.044882023944263015 1
55 429.9 116.87 0.47 9.55 6.93 2.698128654179799e-16 322.32251772671486 0.04260901622357709 1
60 824.55 119.14 0.26 -39.24 2.93 7.808555989495276e-17 322.28851968511594 0.04608533470196764 1
64 594.73 119.27 0.26 -66.22 2.71 4.4736004353867026e-17 322.3083315344369 0.04420082635493665 1
72 851.46 138.96 0.15 84.89 9.41 3.353356782773832e-16 322.28635380018375 0.04802109931006944 1
81 1018.64 139.59 0.29 -84.01 2.26 4.330397417426603e-17 322.2719450674052 0.04942696315270923 1
102 473.02 178.96 0.02 61.26 1.69 2.0101676860388024e-17 322.3192744967756 0.048352289143494306 1
106 1626.11 188.54 0.03 83.47 6.0 2.1006719853258142e-16 322.21994610271116 0.05839270072467384 1
113 481.37 200.18 0.4 -36.05 4.37 1.3687847730237306e-16 322.31871652152273 0.05026064667970795 2
154 849.95 272.6 0.35 31.79 2.11 3.5753900350523437e-17 322.28752602246857 0.05956923470947725 1
169 710.44 294.8 0.27 70.18 2.52 4.773407270589014e-17 322.2997120547461 0.06035052785021558 1
183 1193.15 317.18 0.18 -47.46 1.6 1.4920883724393105e-17 322.25831179725134 0.0661595105412179 2
186 1041.29 323.2 0.58 -22.78 1.78 2.1884146131172375e-17 322.2714407814368 0.06547926563222375 1
194 1520.29 338.99 0.59 70.42 1.87 3.873241132265065e-17 322.23029985054944 0.07057008736680634 1
204 216.35 354.15 0.27 -20.67 1.69 2.07079469168157e-17 322.34268120147374 0.061346015581320724 1
211 929.38 361.24 0.3 -77.85 2.19 3.489256907064771e-17 322.28137533917106 0.06786977617005552 1
212 963.79 362.43 0.34 52.19 1.87 2.4677441012815592e-17 322.2784215120607 0.0682484883942043 1
226 338.15 385.5 0.36 -77.0 1.78 3.271990329543822e-17 322.3324368404845 0.06509371300359054 2
247 323.42 413.32 0.28 -85.32 2.39 4.568815762567592e-17 322.3339114491224 0.06737543629322712 1
260 1926.37 437.37 0.19 -52.39 3.95 9.058105612440153e-17 322.19611578655866 0.08207054192054104 1
276 740.12 463.81 0.5 0.51 2.11 3.3390762217622866e-17 322.2984540566816 0.07519645155863368 1
281 470.57 472.57 0.42 27.32 1.87 2.6422771326965778e-17 322.3217007075614 0.07373254878462636 1
337 1244.29 562.65 0.43 70.64 1.6 1.915822754045085e-17 322.25585513423795 0.08772742514904497 1
352 1689.47 581.15 0.48 43.63 1.78 2.2721077344608927e-17 322.21769956110217 0.09269766154947201 1
366 1883.73 617.4 0.28 -51.99 2.59 4.9873509085526487e-17 322.2012785183445 0.09724178102692681 1
369 1973.1 625.15 0.54 69.49 1.6 2.266731334447138e-17 322.1936507679883 0.09855534058212537 1
381 233.92 648.41 0.65 81.37 1.87 3.8273632809139246e-17 322.3433353186249 0.08693183569988604 1
398 1866.92 683.15 0.5 84.49 2.03 3.207718506714334e-17 322.203265258771 0.10276822503009486 1
425 319.23 730.41 0.54 61.06 3.14 1.1509386515264987e-16 322.33661417155815 0.09472539949182397 1
441 612.92 760.34 0.63 42.96 2.19 4.608046973992282e-17 322.31162905011206 0.09973331974414663 1
444 353.51 766.23 0.37 -76.11 3.7 9.758995605986958e-17 322.3339356199375 0.09810078348620041 1
445 967.77 765.68 0.34 -78.82 3.7 9.38365749320173e-17 322.28120402470483 0.10304254862871706 1
448 1667.23 768.78 0.64 -44.71 1.95 2.960056402557585e-17 322.22113373528254 0.10865806387355482 1
449 1116.94 771.96 0.06 60.92 3.66 7.37252222069037e-17 322.2684410387424 0.10475379176828019 1
455 1442.65 772.56 0.08 26.7 2.93 5.591746417111522e-17 322.24046483511785 0.10730477263950976 1
462 334.18 794.63 0.19 44.44 3.04 6.081019717684676e-17 322.3358016502181 0.1003873921203947 2
471 1775.5 809.36 0.23 13.62 2.93 5.788332469165903e-17 322.21215654743156 0.11293760261583 1
487 282.93 826.39 0.27 44.14 3.39 1.1230009536071158e-16 322.3404296866404 0.10269576954500471 1
501 682.04 848.31 0.34 52.68 1.69 2.060455968428876e-17 322.30635732081265 0.10786989094888522 1
513 795.67 870.24 0.42 84.91 3.04 7.203806495345e-17 322.2967731240549 0.11067063440446584 2
545 1266.33 914.18 0.09 71.44 2.59 3.472339488523412e-17 322.256722555489 0.11812866593565648 1
583 1125.52 976.09 0.29 -65.94 2.88 6.235350638337421e-17 322.26928423806044 0.12236171955369794 1
600 418.74 1008.2 0.11 -88.81 3.95 6.847878408108229e-17 322.33011560918413 0.11947678005854429 1
601 588.26 1005.02 0.38 25.82 1.6 2.0481647403164348e-17 322.31556657096525 0.12058975508574714 1
603 410.01 1007.4 0.51 69.03 1.6 2.0430733298083753e-17 322.3308576778983 0.11933594148212849 1
606 71.03 1013.5 0.19 -89.21 1.6 1.7698937805688473e-17 322.3599363295748 0.11702565709793371 1
627 1298.14 1050.09 0.39 86.82 4.15 9.010766105760347e-17 322.25505211193325 0.13003387686558443 1
628 1702.88 1047.43 0.46 -2.32 2.99 4.9759745266884516e-17 322.2203128288285 0.1328181219211524 1
637 360.46 1065.75 0.08 79.83 7.18 2.0185644167107368e-16 322.33552656405334 0.12394556297799146 1
642 1781.87 1065.37 0.24 66.62 1.69 2.110084268252929e-17 322.2136786552035 0.13492842849710532 1
663 64.5 1096.92 0.28 60.45 2.19 3.3880456320366257e-17 322.3610879085506 0.12414937879601634 1
664 498.18 1097.01 0.1 87.06 1.6 2.12830727379398e-17 322.32396028073026 0.12776263677551108 1
669 223.29 1107.18 0.25 -67.85 4.89 1.0869574709842762e-16 322.34757015378335 0.12636803883377246 1
682 1208.01 1135.77 0.23 -40.88 4.65 9.711022777829699e-17 322.2634422124148 0.13669313810771702 1
684 496.78 1135.52 0.23 -64.41 2.82 4.3385228825328165e-17 322.32436224046967 0.13105965878820636 2
691 366.5 1143.02 0.58 -50.89 1.95 3.308294934080388e-17 322.3355699772822 0.13063650870362278 2
692 495.59 1143.02 0.14 85.74 2.26 2.7147431540698194e-17 322.3245187723196 0.13169456516142689 2
695 442.64 1147.08 0.23 -11.52 1.87 2.3053589195150216e-17 322.3290813616474 0.13161048001686604 1
697 2005.59 1151.23 0.43 34.68 3.14 7.20447481929054e-17 322.19518025828677 0.1438733023959725 1
698 424.54 1150.98 0.29 79.26 1.87 4.0588497527925414e-17 322.33065922195993 0.13179741353806584 1
703 319.87 1160.04 0.26 -0.02 4.07 7.980500638844149e-17 322.33968324572055 0.1317138660550253 1
706 1026.42 1165.52 0.29 -83.18 4.41 1.0117864743849736e-16 322.2792284142571 0.13784671459799855 1
717 1470.61 1186.67 0.11 71.18 3.43 4.9491304507916065e-17 322.24133341257027 0.1430314765665814 1
723 1621.5 1201.44 0.36 23.12 5.92 1.346254784222243e-16 322.22851742461745 0.1454079692379871 1
726 857.03 1204.06 0.1 -81.86 2.52 4.2750905779649847e-17 322.29402594456184 0.13982758050785504 2
734 1530.64 1219.52 0.35 73.06 2.71 7.968006097153016e-17 322.2364467366428 0.14628721900557967 1
746 592.31 1234.91 0.42 75.79 3.04 6.230448671599237e-17 322.3169136982843 0.14036561940711056 1
798 588.1 1325.61 0.18 -71.19 3.04 6.060474836793171e-17 322.31793759049435 0.1481100830897576 1
806 889.8 1339.92 0.05 -9.79 6.08 2.0398716413542901e-16 322.29223792635077 0.1517266818042674 1
807 1951.31 1339.68 0.59 48.63 4.3 1.1176151379105537e-16 322.20135974303884 0.15959079245648616 1
811 1896.37 1343.09 0.42 61.52 4.33 1.480167083467643e-16 322.20609405837484 0.1594937944691234 2
819 1029.87 1354.57 0.14 -77.27 2.03 2.8003835665130475e-17 322.28036444570733 0.15406817830199043 1
867 1784.64 1428.44 0.26 38.27 3.34 6.289021532128028e-17 322.21634281191086 0.16598486842684124 1
868 91.17 1438.27 0.02 -42.85 6.1 1.7032041252896628e-16 322.36121107797817 0.15369548265940627 1
887 1946.24 1463.35 0.42 34.33 1.87 3.4630970364062185e-17 322.2027874448165 0.170107730142142 1
890 440.05 1474.2 0.78 71.35 2.59 7.845828317632229e-17 322.3316675070328 0.15964844834872452 2
900 1801.43 1497.88 0.52 78.03 6.96 2.6207616730331263e-16 322.21545601101883 0.17202939448299825 1
919 922.52 1526.46 0.42 -65.39 5.92 1.76849012461438e-16 322.29082995745057 0.16794252088375364 1
924 73.81 1540.14 0.53 80.72 7.05 2.6168830714838653e-16 322.36340348943116 0.16228447202015117 1
954 1322.55 1575.49 0.43 78.78 1.69 3.60732824340547e-17 322.2570130411604 0.17516744123133723 1
966 308.06 1594.08 0.31 -7.86 6.98 2.522423470052748e-16 322.34379046893997 0.1688388286362821 1
989 476.4 1626.58 0.38 78.8 2.46 4.6162405819800405e-17 322.329655964736 0.17298352199617492 2
1010 843.83 1661.05 0.07 -53.66 5.97 2.0674882482658877e-16 322.29854414975216 0.17883331923013007 1
1015 234.14 1667.64 0.35 -75.82 6.36 2.6048042679737324e-16 322.35061524173904 0.1745288731905849 1
1023 923.32 1682.46 0.26 82.49 4.41 8.542447090551122e-17 322.29191677885797 0.1812757398811167 1
1035 1860.9 1700.95 0.33 34.39 2.99 5.716281134638984e-17 322.2119769424265 0.1897519172283707 1
1036 1971.17 1704.9 0.38 43.63 4.22 8.308974094634034e-17 322.2025835362025 0.1908575329124992 1
1050 382.3 1726.51 0.58 85.72 2.11 3.443963126399743e-17 322.338393832719 0.18076969875308316 1
1051 38.96 1727.14 0.38 -79.88 1.95 3.14171376143471e-17 322.3676692254435 0.17800582612914767 2
1061 1016.84 1749.26 0.46 82.43 3.09 6.306225483040013e-17 322.2844283996967 0.18769283216824284 1
1067 553.8 1763.82 0.12 -51.54 5.97 2.0095056702753766e-16 322.3240343789688 0.1853318990568341 1
1071 509.29 1761.99 0.45 11.34 2.65 6.740284058891726e-17 322.3278167833621 0.18482066536030162 2
1074 1564.77 1770.6 0.26 11.16 5.35 2.029886515991932e-16 322.23781744429635 0.19357419365118414 1
1117 1986.24 1827.37 0.22 23.37 2.39 3.931210719803999e-17 322.20226834433004 0.20137721863738534 2
1125 1760.8 1843.05 0.42 52.09 4.72 1.2302137231381593e-16 322.22164170030504 0.20113766335321956 1
1147 1931.6 1883.96 0.59 44.76 1.87 3.080899247600019e-17 322.20738155323147 0.2058083666045104 1
1149 1530.05 1884.37 0.46 13.53 1.69 2.1557923210351123e-17 322.24165519139746 0.20300631386269785 1
1152 1274.14 1892.84 0.34 73.09 5.32 1.1172367609525665e-16 322.2635492876886 0.2018587879833297 1
1165 724.93 1918.79 0.23 -41.29 1.6 1.6624630535625607e-17 322.3105591226212 0.19990099594641997 1
1180 1124.9 1945.5 0.22 82.76 2.39 4.330732991340628e-17 322.27666706206765 0.20523025029879013 1
1186 1929.94 1959.81 0.5 54.47 4.18 1.1535371460463358e-16 322.208119811716 0.21223987323268637 1
1191 1269.52 1968.96 0.41 -75.53 2.39 4.189337877557207e-17 322.26451440113965 0.20830198408026399 1
1217 1624.65 2030.81 0.33 51.45 3.66 8.291103685176838e-17 322.2347083128184 0.21613111750080774 2
1248 1887.75 76.85 0.12 38.32 3.91 8.577111992255096e-17 322.1964327440708 0.05071014886242663 1
1272 1562.58 673.41 0.61 87.85 2.88 7.875912019814012e-17 322.2293624779557 0.09968473463926218 1
1277 729.68 699.39 0.25 60.35 8.16 3.0943124871440315e-16 322.30114526957254 0.09543121725560964 1
1288 440.06 1100.38 0.06 -39.34 4.72 1.131277302935198e-16 322.3289619989603 0.1275772233944256 1
1326 530.11 1855.89 0.39 84.08 2.93 8.810404469739545e-17 322.3267104211949 0.19300378962043424 2
1327 529.77 1864.89 0.69 80.46 2.71 4.875898640801979e-17 322.3268038103853 0.19376953435125613 2
1328 534.45 1872.74 0.81 82.14 4.65 1.545042694704079e-16 322.3264608210281 0.19447641247352757 1
