NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
26 1848.87 41.84 0.55 -84.13 1.6 1.9996781957767864e-17 322.2083651157306 0.03875413817744201 2
43 1750.12 63.08 0.69 -49.36 1.78 2.842520734122191e-17 322.2171176902994 0.04073338719770897 1
55 714.73 79.25 0.42 -44.53 2.99 6.764970078493168e-17 322.3088583055773 0.042738160306352135 1
60 792.82 87.71 0.37 -37.84 1.78 2.4311715343798537e-17 322.30193510398556 0.04347557163525909 1
66 562.21 91.77 0.33 5.26 1.6 2.137630694087483e-17 322.322358548747 0.04386772461908385 1
69 1887.82 96.58 0.2 -79.93 1.69 3.3186224498766894e-17 322.20491142031057 0.04356750584258911 1
74 1996.63 101.41 0.7 -65.88 2.11 4.180336282828344e-17 322.19526715173345 0.04387795855539887 1
94 707.53 130.32 0.18 -85.08 3.39 7.746444698905427e-17 322.3094589878367 0.047278260952310594 1
103 1543.53 142.98 0.28 -37.96 4.95 1.1085111826974766e-16 322.23541047919133 0.04799825231433479 1
107 829.71 143.21 0.37 81.43 1.6 2.0414409865774226e-17 322.2986306841986 0.04839741546792064 1
113 1347.74 154.29 0.13 60.0 5.7 1.712101804485905e-16 322.25274972762156 0.049143819713484076 1
126 121.35 171.87 0.21 -78.6 2.19 3.515336526640547e-17 322.36131292976347 0.05094503492968122 1
144 747.02 199.99 0.28 -52.32 4.18 7.527908112385969e-17 322.30591197181855 0.053459424202275285 1
150 252.68 212.15 0.69 -56.85 5.23 1.817179886998505e-16 322.3496491545298 0.05455405836339351 1
152 768.06 212.41 0.22 63.11 6.0 1.4662969525751995e-16 322.304041459599 0.05455723103457478 1
171 577.73 233.78 0.32 -83.7 1.6 1.758036352720993e-17 322.32086777419363 0.05648547005239204 1
176 1123.19 239.33 0.43 39.31 4.89 1.6884020996468093e-16 322.27259376099204 0.05681640476334306 1
180 355.31 244.92 0.21 83.5 1.78 2.851908342770204e-17 322.34053660267887 0.05747784990740008 1
192 1808.45 272.45 0.52 6.12 5.01 1.4814768978226608e-16 322.21192819470656 0.059228823204277074 1
199 1417.3 289.41 0.23 -57.65 3.04 6.091836577925875e-17 322.24654341185186 0.06107293700426258 1
201 875.34 290.47 0.27 -77.66 3.04 7.343341093798933e-17 322.2944940408912 0.06145457013175357 1
209 1003.26 299.45 0.54 37.32 1.69 2.6103964455530215e-17 322.28317236698905 0.06220275985868783 2
