NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
13 489.95 26.76 0.52 -11.24 5.73 3.7351821621418585e-12 126.54322060470386 4.158959181700165 1
21 475.05 34.07 0.12 -28.32 1.87 6.72389685566814e-13 126.5445256758405 4.159615514317327 1
81 1634.16 96.97 0.07 -49.8 3.14 9.453802986613832e-13 126.44236622512491 4.164040986152546 1
84 189.86 102.33 0.28 69.7 1.69 4.0597627859469907e-13 126.56958156457614 4.165885342921975 1
98 1879.31 125.48 0.35 28.03 1.95 8.026053314115986e-13 126.42074463359025 4.16631190695392 1
105 891.58 137.81 0.39 49.55 3.14 1.1109464068437258e-12 126.50773704671052 4.168339807564127 2
109 1934.88 145.19 0.47 -40.55 2.76 1.7246551895721283e-12 126.41583075589004 4.167991114538216 1
120 1677.14 159.83 0.08 -8.02 4.89 1.7315422868612928e-12 126.43851990503285 4.169525436353846 1
151 396.84 207.94 0.12 28.15 2.11 6.32963074437741e-13 126.55125006998111 4.174972909610183 1
153 616.91 208.58 0.25 6.47 2.88 9.389954781066284e-13 126.53186399291786 4.174820978116752 1
154 1770.75 208.05 0.44 -47.25 1.69 3.837243699526984e-13 126.43022796153193 4.173674645834362 1
157 1514.23 213.06 0.27 79.52 2.52 8.346768396237862e-13 126.45281894446619 4.174360175166346 1
172 2006.43 240.88 0.09 -51.49 3.19 1.083272023983333e-12 126.40943583986603 4.17633352557028 1
196 911.67 292.75 0.3 -36.05 3.7 1.3479611260042093e-12 126.50582019672724 4.181939806981448 2
204 757.75 301.53 0.2 -27.96 2.26 5.871853605349725e-13 126.51936986625056 4.182857702870726 1
222 219.1 326.04 0.29 21.21 2.71 8.866660802962578e-13 126.5667943981865 4.185522640490767 2
227 1387.72 339.54 0.32 74.86 5.26 2.263731515318582e-12 126.46384172026507 4.185599423278302 1
228 1443.72 336.3 0.08 -49.61 2.39 7.457644998524336e-13 126.45891150900093 4.185260889797661 1
250 1126.07 369.35 0.51 -64.56 3.34 1.570639886245868e-12 126.48686057051856 4.188468979644581 1
272 1092.38 401.61 0.18 74.94 1.87 4.602058293433771e-13 126.48979752055882 4.191336734497703 1
282 944.49 414.22 0.27 -70.33 2.26 6.859737583688791e-13 126.50281263633336 4.192586588899421 1
303 1107.97 451.33 0.41 -66.02 4.89 2.2960430319819736e-12 126.48837645993339 4.195692883612822 1
322 1882.98 488.96 0.33 79.62 2.65 9.811379480727369e-13 126.42007179758673 4.198259455284722 1
357 2008.98 542.77 0.59 -73.05 1.69 4.423885872856371e-13 126.40892007982046 4.202868032130488 1
363 1337.1 553.89 0.35 16.3 1.87 4.655203344670143e-13 126.46809493069145 4.204489699089761 1
365 210.05 562.73 0.45 43.65 3.78 1.6161504002064878e-12 126.56736729559809 4.2063364326575545 1
378 1581.56 569.25 0.25 -28.32 1.95 4.845193450629966e-13 126.44654551107723 4.2056058257782665 1
384 369.18 579.9 0.41 -14.63 1.69 4.5092269930861747e-13 126.55333353631222 4.207694892014535 1
389 1901.29 582.36 0.53 19.23 1.95 6.318820754015062e-13 126.41836851835183 4.206451310272593 1
401 1392.25 596.26 0.38 -8.5 1.6 3.6614753206038315e-13 126.46319587089965 4.208160689768144 1
444 949.94 655.12 0.41 81.91 1.78 4.599879079294524e-13 126.50210289725027 4.213756724189875 1
449 1663.82 658.63 0.22 -71.82 1.69 3.3870287186495777e-13 126.43921334985008 4.213383823649669 1
473 648.72 692.47 0.26 -25.84 2.26 6.114148754468599e-13 126.52860218430705 4.217325764385378 1
477 118.29 700.5 0.36 -22.03 1.87 5.810889116845047e-13 126.57531996798066 4.218532827517368 1
481 1071.16 702.85 0.17 44.56 1.6 2.9291703471156313e-13 126.49137878806097 4.217837065058065 1
495 1809.41 722.07 0.12 55.48 3.39 1.3361280972150731e-12 126.42632745375619 4.218820177981076 1
509 1231.26 732.94 0.52 -33.04 2.26 8.658594970173286e-13 126.4772469653634 4.220328788995971 1
532 1799.02 763.19 0.14 15.81 5.38 2.2298829078969114e-12 126.42720336809094 4.222444761058437 1
544 1180.1 772.78 0.61 52.39 1.95 7.66562488936012e-13 126.48171551570839 4.223879791853317 1
547 1894.29 777.22 0.28 -37.08 2.11 7.763735404685037e-13 126.41879741952359 4.223586419597417 2
563 1678.7 815.5 0.27 70.09 4.95 3.4198744163725153e-12 126.43775198795869 4.227158382253133 1
585 759.47 843.49 0.43 77.54 3.57 1.5263676314282547e-12 126.5187022500398 4.23049580412935 1
594 1645.91 851.23 0.02 1.62 3.24 9.39925881990313e-13 126.44060610760138 4.2303308017594485 2
607 1018.02 876.01 0.21 57.38 5.08 2.156971540048202e-12 126.49589468994323 4.233108399253963 1
619 2025.23 895.21 0.6 73.13 1.69 4.1359822478479845e-13 126.40714868690876 4.233832221971334 2
662 1210.97 944.69 0.36 52.05 1.69 3.317015883559132e-13 126.4788312852458 4.238961907114057 1
664 515.85 947.84 0.26 46.75 4.15 1.4388289352255783e-12 126.54006377398792 4.239899071513337 1
672 1208.7 951.95 0.19 38.73 2.65 7.874516466852061e-13 126.47902488010944 4.239601804415669 1
677 1751.58 958.82 0.13 -86.44 3.39 1.08215234506869e-12 126.43119438423714 4.239686873184199 2
685 178.27 961.74 0.6 -5.44 1.87 4.760338010153509e-13 126.56978986245849 4.24143985290113 2
695 1864.98 970.98 0.03 5.61 1.69 3.768334457508278e-13 126.42119289234672 4.240646605462076 1
724 911.77 1005.48 0.6 75.24 1.78 7.221097184086465e-13 126.50513102573218 4.244590339931204 1
734 62.64 1019.32 0.34 -15.32 2.76 1.0903684788002734e-12 126.57992147019812 4.246610316875021 1
735 497.71 1019.06 0.69 53.1 1.95 5.296088445247013e-13 126.54159468804315 4.246176847511708 1
751 1410.11 1033.87 0.58 43.99 1.69 4.151020317199675e-13 126.46120322939613 4.246610345269311 1
